id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_63700_PE,BANKEX 26FEB 63700 PE,1163500,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63800_CE,BANKEX 26FEB 63800 CE,1164256,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63800_PE,BANKEX 26FEB 63800 PE,1165863,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63900_CE,BANKEX 26FEB 63900 CE,1162337,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_63900_PE,BANKEX 26FEB 63900 PE,1163985,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64000_CE,BANKEX 26FEB 64000 CE,1166760,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64000_PE,BANKEX 26FEB 64000 PE,1168286,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64100_CE,BANKEX 26FEB 64100 CE,1169012,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64100_PE,BANKEX 26FEB 64100 PE,1163154,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64200_CE,BANKEX 26FEB 64200 CE,1167269,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64200_PE,BANKEX 26FEB 64200 PE,1168764,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64300_CE,BANKEX 26FEB 64300 CE,1162004,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64300_PE,BANKEX 26FEB 64300 PE,1166999,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64400_CE,BANKEX 26FEB 64400 CE,1167694,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64400_PE,BANKEX 26FEB 64400 PE,1161773,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64500_CE,BANKEX 26FEB 64500 CE,1165903,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64500_PE,BANKEX 26FEB 64500 PE,1167482,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64600_CE,BANKEX 26FEB 64600 CE,1168128,30,0.05,option,900,,IDX_-94_BSE
