trade_id,symbol,buy_reason,entry_price,exit_price,quantity,lot_size,entry_time,exit_time,realized_pnl
PAPER-1772358039,SENSEX 05MAR 81200 PE,"BB9, BB10, BB11, BB12, CBB0, CBB1, CBB2, CBB6, CBB7, CBB8, Green",330.0,340.2,900,10,2026-03-01 15:10:39.912943,2026-03-01 15:10:40.797764,91799.9999999999
PAPER-1772358042,SENSEX 05MAR 81200 PE,"BB13, Green",330.25,313.55,900,10,2026-03-01 15:10:42.582613,2026-03-01 15:10:42.735748,-150299.99999999988
PAPER-1772358042,SENSEX 05MAR 81200 PE,"BB13, Green",330.25,317.95,900,10,2026-03-01 15:10:42.738810,2026-03-01 15:10:42.890814,-110700.0000000001
PAPER-1772358042,SENSEX 05MAR 81200 PE,"BB13, Green",330.25,321.5,900,10,2026-03-01 15:10:42.893341,2026-03-01 15:10:43.044474,-78750.0
PAPER-1772358043,SENSEX 05MAR 81200 PE,"BB13, CBB0, Green",330.25,312.25,900,10,2026-03-01 15:10:43.047167,2026-03-01 15:10:43.200441,-162000.0
PAPER-1772358044,SENSEX 05MAR 81200 PE,"BB13, Green",313.6,330.0,900,10,2026-03-01 15:10:44.724639,2026-03-01 15:10:46.846216,147599.9999999998
PAPER-1772358048,SENSEX 05MAR 81200 PE,"BB8, CBBR2, CBBR7",317.9,311.05,900,10,2026-03-01 15:10:48.501501,2026-03-01 15:10:48.810398,-61649.999999999694
PAPER-1772358048,SENSEX 05MAR 81200 PE,"BB8, CBBR2, CBBR7",318.75,320.05,900,10,2026-03-01 15:10:48.812782,2026-03-01 15:10:50.961743,11700.000000000102
PAPER-1772358054,SENSEX 05MAR 81200 PE,CBBR2,329.45,322.15,900,10,2026-03-01 15:10:54.689540,2026-03-01 15:10:54.849125,-65700.0000000001
PAPER-1772358054,SENSEX 05MAR 81200 PE,CBBR2,330.0,320.5,900,10,2026-03-01 15:10:54.852563,2026-03-01 15:10:55.010579,-85500.0
PAPER-1772358055,SENSEX 05MAR 81200 PE,CBBR2,330.0,320.95,900,10,2026-03-01 15:10:55.013873,2026-03-01 15:10:55.489168,-81450.0000000001
PAPER-1772358063,SENSEX 05MAR 81200 PE,"NRCB, BB12, CBB0, CBB4",282.0,260.45,900,10,2026-03-01 15:11:03.617701,2026-03-01 15:11:03.953131,-193950.00000000012
PAPER-1772358063,SENSEX 05MAR 81200 PE,"NRCB, BB12",282.0,261.2,900,10,2026-03-01 15:11:03.955893,2026-03-01 15:11:04.120287,-187200.00000000012
PAPER-1772358064,SENSEX 05MAR 81200 PE,"NRCB, BB12",282.0,259.85,900,10,2026-03-01 15:11:04.122516,2026-03-01 15:11:04.283102,-199349.9999999998
PAPER-1772358065,SENSEX 05MAR 81200 PE,"BB12, CBB0, CBB8",276.1,269.3,900,10,2026-03-01 15:11:05.262042,2026-03-01 15:11:06.116353,-61200.0000000001
PAPER-1772358070,SENSEX 05MAR 81200 PE,"BB11, CBB0, CBB8",311.5,298.15,900,10,2026-03-01 15:11:10.211573,2026-03-01 15:11:10.715963,-120150.0000000002
PAPER-1772358070,SENSEX 05MAR 81200 PE,"BB11, CBB0, CBB1, CBB4, CBB8",315.3,296.35,900,10,2026-03-01 15:11:10.718204,2026-03-01 15:11:10.883843,-170549.99999999988
